source.name,author,title,description,content,url
TechCrunch,Anthony Ha,"Trump exempts smartphones, laptops, and semiconductors from new tariffs","The Trump administration is carving out big tariff exemptions for the tech industry. While President Donald Trump said Wednesday that he would delay many of the market-shaking tariffs that he’d announced the previous week, he kept a universal baseline 10% tar…","The Trump administration is carving out big tariff exemptions for the tech industry.
While President Donald Trump said Wednesday that he would delay many of the market-shaking tariffs that hed annou… [+1855 chars]",https://techcrunch.com/2025/04/12/trump-exempts-smartphones-laptops-and-semiconductors-from-new-tariffs/
TechCrunch,Rebecca Szkutak,US government imposes license requirement on Nvidia H20 exports | TechCrunch,"Nvidia's H20 was the most advanced AI chip the company could still export to China. Now, it faces restrictions.","Semiconductor giant Nvidia is facing unexpected new U.S. export controls on its H20 chips.
In a filing Tuesday, Nvidia said it was informed by the U.S. government that it will need a license to expo… [+1266 chars]",https://techcrunch.com/2025/04/15/nvidia-h20-chip-exports-hit-with-license-requirement-by-us-government/
TechCrunch,Kyle Wiggers,Nvidia says it plans to manufacture some AI chips in the U.S. | TechCrunch,Nvidia says that it has commissioned more than a million square feet of manufacturing space to build and test AI chips in Arizona as part of an effort to move a portion of its production to the U.S.,Nvidia says it has commissioned more than a million square feet of manufacturing space to build and test AI chips in Arizona and Texas as part of an effort to move a portion of production to the U.S.… [+2270 chars],https://techcrunch.com/2025/04/14/nvidia-says-it-plans-to-manufacture-some-ai-chips-in-the-u-s/
TechCrunch,Ingrid Lunden,"Hammerspace, an unstructured data wrangler used by Nvidia, Meta and Tesla, raises $100M at $500M+ valuation | TechCrunch","Artificial intelligence services at their heart are massive data plays: you need data — a lot of it — to build the models, and then the models need","Artificial intelligence services at their heart are massive data plays: you need data a lot of it to build the models, and then the models need efficient ways to ingest and output data to work. 
A c… [+4438 chars]",https://techcrunch.com/2025/04/16/hammerspace-an-unstructured-data-wrangler-used-by-nvidia-meta-and-tesla-raises-100m-at-500m-valuation/
TechCrunch,Rebecca Szkutak,Here are the 19 US AI startups that have raised $100M or more in 2025 | TechCrunch,U.S.-based AI startups continue to rake in venture funding with multiple companies already raising impressive rounds in 2025.,"Last year was monumental for the AI industry in the U.S. and beyond.
There were 49 startups that raised funding rounds worth $100 million or more in 2024, per our count at TechCrunch; three companie… [+5928 chars]",https://techcrunch.com/2025/04/23/here-are-the-19-us-ai-startups-that-have-raised-100m-or-more-in-2025/
TechCrunch,Kyle Wiggers,AMD takes $800M charge on US license requirement for AI chips | TechCrunch,AMD says that the U.S. government's license control requirement for exporting AI chips to China and certain other countries may impact its earnings materially.,"AMD says that the U.S. government’s license control requirement for exporting AI chips to China and certain other countries may impact its earnings materially. 
If AMD doesn’t successfully obtain a … [+1462 chars]",https://techcrunch.com/2025/04/16/amd-takes-800m-charge-on-us-license-requirement-for-ai-chips/
TechCrunch,Kyle Wiggers,A Chinese AI video startup appears to be blocking politically sensitive images | TechCrunch,"A Chinese startup, Sand AI, appears to be blocking certain politically sensitive images from its online video generation tool.","A China-based startup, Sand AI, has released an openly licensed video-generating AI model that’s garnered praise from entrepreneurs like Microsoft Research Asia founding director Kai-Fu Lee. But Sand… [+2550 chars]",https://techcrunch.com/2025/04/22/a-chinese-ai-video-startup-appears-to-be-blocking-politically-sensitive-images/
TechCrunch,Karyne Levy,Week in Review: Google loses a major antitrust case | TechCrunch,Welcome back to Week in Review! We've got tons of stuff for you this week: antitrust lawsuits against Google and Meta; Grok can now remember; Bolt CEO,"Welcome back to Week in Review! We’ve got tons of stuff for you this week: antitrust lawsuits against Google and Meta; Grok can now remember; Bolt CEO Ryan Breslow wants to make his mark; and much, m… [+4452 chars]",https://techcrunch.com/2025/04/19/week-in-review-google-loses-a-major-antitrust-case/
TechCrunch,Kate Park,RLWRLD raises $14.8M to build a foundational model for robotics | TechCrunch,"As robotics has advanced, industry has steadily adopted more robots to automate away many kinds of grunt work. More than 540,000 new industrial robots","As robotics has advanced, industry has steadily adopted more robots to automate away many kinds of grunt work. More than 540,000 new industrial robots were installed worldwide in 2023, taking the num… [+4913 chars]",https://techcrunch.com/2025/04/14/rlwrld-raises-14-4m-to-build-foundation-model-for-robotics/
TechCrunch,Dominic-madori Davis,Here are all the tech companies rolling back DEI or still committed to it — so far | TechCrunch,Companies around America have started cutting DEI programs and eliminating DEI commitments from public documents in response to legal and political,"Companies around America have started cutting DEI programs and eliminating DEI commitments from public documents in response to legal and political threats from the Trump administration.
Just a few … [+7178 chars]",https://techcrunch.com/2025/04/17/here-are-all-the-tech-companies-rolling-back-dei-or-still-committed-to-it-so-far/
